QBarcode,Milk,MilkSv,SoyMlk,SoyMlkSv,RicMlk,RicMlkSv,Latte,LatteSv,Coffee,CoffeeSv,CofCrm,CofCrmSv,TomJc,TomJcSv,OrngJc,OrngJcSv,Jce100,Jce100Sv,CranJc,CranJcSv,FortJc,FortJcSv,Dsoda,DsodaSv,Rsoda,RsodaSv,Slmfst,SlmfstSv,Water,WaterSv,Beer,BeerSv,WinRed,WinRedSv,WinWht,WinWhtSv,Liquor,LiquorSv,Alc18,Alc30,Alc45,Alc60
270,4,2,0,2,0,2,2,2,0,2,0,2,1,1,6,2,3,2,4,2,4,2,3,2,4,2,0,2,2,2,2,2,2,2,1,2,2,2,2,2,1,66
275,0,2,2,1,0,2,0,2,7,1,7,2,2,2,2,2,2,2,1,2,0,2,7,2,0,2,0,2,9,3,0,2,5,2,2,2,5,3,0,1,2,2
276,5,3,0,2,0,2,2,3,4,2,4,2,1,2,3,3,0,2,2,2,0,2,2,2,0,2,0,2,4,2,0,2,0,2,0,2,0,2,0,0,0,0
278,6,1,0,2,0,2,4,2,4,2,6,1,0,2,6,2,6,3,0,2,0,2,6,2,0,2,0,2,7,2,0,2,0,2,0,2,0,2,0,1,0,66
279,5,2,0,2,0,2,1,2,7,2,7,2,2,2,3,2,2,2,1,2,1,2,5,2,0,2,0,2,7,3,0,2,0,2,0,2,0,2,0,0,0,66
280,4,2,1,2,0,2,0,2,6,2,0,2,1,2,1,2,1,2,1,2,0,2,2,2,0,2,0,2,9,3,2,2,3,2,2,2,0,2,4,3,2,66
281,6,1,0,2,0,2,0,2,6,1,0,2,0,2,0,2,0,2,0,2,0,2,6,1,0,2,0,2,8,1,0,2,0,2,0,2,6,1,0,1,2,2
282,1,2,0,2,0,2,0,2,7,2,7,2,0,2,0,2,0,2,1,2,0,2,6,3,0,2,0,2,4,2,2,2,1,3,4,3,1,3,2,2,2,66
285,1,1,2,2,0,2,1,1,1,1,1,1,0,2,4,2,3,2,1,2,1,1,0,2,1,1,0,2,8,2,0,2,1,1,1,2,1,2,1,1,66,66
290,0,2,0,2,0,2,1,2,3,2,3,2,2,3,6,2,4,2,4,2,1,2,5,2,1,2,0,2,7,2,5,2,3,3,4,3,2,2,2,4,3,2
295,9,3,0,2,0,2,1,2,9,3,9,3,0,2,9,3,0,2,0,2,0,2,0,2,2,2,0,2,9,3,2,2,0,2,0,2,2,2,5,4,1,66
296,4,2,0,2,0,2,2,2,7,2,6,3,0,2,2,2,0,2,0,2,0,2,0,2,7,2,0,2,0,2,0,2,0,2,0,2,2,2,3,1,66,66
327,6,1,0,2,0,2,1,2,2,2,0,2,4,2,4,2,2,2,0,2,0,2,1,2,0,2,1,2,9,2,0,2,0,2,1,2,0,2,0,2,1,1
343,1,1,0,2,0,2,0,2,6,1,0,2,2,1,6,1,1,1,2,1,0,2,2,1,0,2,0,2,8,2,1,1,2,1,4,1,0,2,0,2,2,2
352,4,2,0,2,0,2,2,2,6,2,6,2,0,2,4,2,4,3,0,2,0,2,0,2,4,2,0,2,8,3,0,2,0,2,0,2,0,2,0,0,0,66
353,2,1,0,2,0,2,0,2,5,2,5,2,0,2,5,2,5,1,0,2,0,2,0,2,3,1,0,2,4,1,4,2,0,2,0,2,0,2,2,4,5,0
360,3,2,0,2,0,2,0,2,1,1,1,1,0,2,9,3,3,1,0,2,0,2,8,3,0,2,0,2,8,3,0,2,0,2,0,2,0,2,2,1,0,66
361,7,2,0,2,0,2,6,2,0,2,6,2,0,2,4,2,2,2,0,2,2,2,7,2,0,2,0,2,7,2,0,2,0,2,0,2,0,2,0,0,0,66
362,7,3,0,2,0,2,1,2,6,3,6,2,1,3,2,3,2,3,2,3,2,3,2,2,2,2,0,2,9,3,2,3,2,3,2,3,2,3,1,2,66,66
363,7,2,0,2,0,2,0,2,8,2,0,2,0,2,2,1,0,2,0,2,0,2,0,2,1,1,0,2,7,2,1,1,3,2,2,2,0,2,1,2,0,1
366,7,2,0,2,0,2,2,2,4,2,4,2,1,1,2,1,1,1,0,2,1,1,2,2,0,2,0,2,9,3,0,2,0,2,0,2,0,2,0,0,66,66
367,4,1,1,1,0,2,4,1,6,1,6,2,4,1,0,2,6,1,0,2,0,2,6,1,0,2,0,2,9,3,0,2,0,2,0,2,0,2,0,0,0,0
369,1,2,0,2,0,2,1,2,0,2,0,2,1,2,4,2,4,2,2,2,1,2,4,2,99,2,1,2,9,3,0,2,99,2,99,2,99,2,0,0,0,0
370,0,2,0,2,0,2,1,2,6,2,6,2,0,2,4,3,0,2,6,3,1,2,0,2,4,2,0,2,7,2,0,2,0,2,0,2,0,2,1,0,66,66
371,2,1,3,1,0,2,1,1,0,2,0,2,0,2,4,1,3,1,0,2,1,1,0,2,7,1,0,2,6,1,0,2,0,2,1,1,2,1,1,1,66,66
372,7,2,0,2,0,2,0,2,7,2,7,2,2,2,1,1,0,2,1,2,0,2,1,2,1,2,0,2,9,2,5,2,1,2,0,2,0,2,4,4,3,66
373,6,2,6,2,0,2,1,1,7,1,7,1,3,2,4,2,3,1,2,1,0,2,0,2,0,2,0,2,9,3,5,1,1,1,1,1,1,1,0,2,66,66
375,0,2,0,2,0,2,0,2,0,2,1,2,0,2,0,2,2,3,0,2,0,2,0,2,5,3,2,3,9,3,1,1,0,2,0,2,0,2,3,2,1,66
376,0,2,6,1,0,2,0,2,8,1,8,1,0,2,3,2,2,3,7,3,0,2,0,2,3,1,0,2,7,2,0,2,0,2,0,2,0,2,0,0,0,66
378,4,1,0,2,0,2,0,2,5,2,5,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,0,2,4,1,0,2,0,2,0,2,0,2,0,0,0,66
379,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,1,0,2,2,1,0,2,6,3,0,2,0,2,8,3,0,2,4,2,0,2,2,2,2,2,66,66
380,4,2,1,2,0,2,2,2,6,2,6,1,3,2,6,1,0,2,3,2,2,2,0,2,0,2,0,2,7,2,0,2,0,2,0,2,0,2,0,1,1,66
482,7,2,1,2,0,2,3,2,0,2,6,2,0,2,4,2,3,2,3,2,0,2,0,2,4,2,1,2,3,2,1,2,0,2,1,2,0,2,1,1,1,66
483,8,2,8,2,0,2,0,2,2,2,2,1,0,2,2,1,0,2,0,2,0,2,4,2,7,2,8,3,8,3,0,2,0,2,0,2,1,1,1,3,2,0
484,7,2,2,1,0,2,1,1,7,2,0,2,2,1,3,2,4,2,5,2,4,2,0,2,1,1,1,2,8,2,0,2,0,2,0,2,0,2,0,2,3,0
488,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,99,99,1
492,0,2,0,2,0,2,1,1,7,2,7,2,1,2,1,2,1,2,1,2,0,2,0,2,0,2,0,2,8,2,2,1,0,2,0,2,0,2,4,4,2,1
493,3,2,0,2,0,2,1,1,7,1,0,2,0,2,0,2,0,2,0,2,0,2,2,1,1,1,0,2,8,2,0,2,0,2,0,2,0,2,2,2,1,2
500,6,2,2,2,99,2,99,2,4,2,99,2,99,2,99,2,99,2,99,2,99,2,4,2,0,2,99,2,8,2,0,2,0,2,0,2,0,2,1,1,1,0
501,4,1,0,2,0,2,0,2,0,2,0,2,2,1,4,1,0,2,6,1,0,2,6,1,1,1,3,1,9,1,5,1,1,2,1,2,1,2,2,3,2,2
