QBarcode,Sex,DOBYear,Age,Country,Ethn,Ethn1,Ethn2,Ethn3,Ethn4,Ethn5,EthnO,EthnOth,EthnDK,Race1,Race2,Race3,Race4,Race5,RaceO,RaceDK,RaceOth,Litho1,Educ,Marital,InsTyp1,InsTyp2,InsTyp3,InsTyp4,InsTypNo,InsTypO,InsTypDK,InsurOth,HHInc,NumSuprt,Litho2,Educ2,Multiracial
2909,2,1948,57,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1118,3,2,,,1.0,,,,,,4,2,1118,3,0
2911,2,1961,44,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,7869,3,5,,,1.0,,,,,,2,4,7869,3,0
2912,2,1948,57,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1132,5,1,,,1.0,,,,,,5,4,1132,3,0
2919,2,1943,62,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1139,5,6,,,1.0,,,,,,99,999,1139,3,0
2921,2,1957,48,TAIWAN,0,66,66,66,66,66,66,,66,0,0,0,1,0,0,0,,341,5,3,,,1.0,,,,,,6,999,341,3,0
2935,1,1937,68,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,202776,99,1,,1.0,1.0,,,,,,3,3,202776,99,0
2937,1,1953,52,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,202556,2,1,,,1.0,,,,,,4,4,202556,2,0
2942,1,1944,61,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,202478,3,1,,,1.0,,,,,,6,2,202478,3,0
2951,2,1932,73,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1230,3,5,,1.0,,1.0,,,,,2,1,1230,3,0
2955,2,1958,48,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1233,2,1,,,1.0,,,,,,4,5,1233,2,0
2960,2,1935,71,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,7875,4,3,,1.0,1.0,,,,,,3,1,7875,3,0
2962,2,1945,61,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1155,2,6,1.0,,,,,,,,2,1,1155,2,0
